YEAR,SEMESTER,CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,DFR,I,NR,S,U,W,Primary Instructor,Grade Regs,Total Grades,Average Grade,Course Level,Total Registered,A %,B %,C %,D %,F %,Withdrawal Rate (%),Instructor,Rating,Num Reviews
2016,Fall,CS,111,Program Design I,2699,Computer Science,12,4,1,3,3,0,0,0,0,0,4,"Berger-Wolf, Tanya Yonit",27,23,2.8260869565217392,100,27,44.44444444444444,14.814814814814813,3.7037037037037033,11.11111111111111,11.11111111111111,14.814814814814813,"Berger-Wolf, Tanya Yonit",3.0,26.0
2016,Fall,CS,111,Program Design I,2699,Computer Science,16,9,9,0,3,0,2,0,0,0,6,"Sloan, Robert Hal",45,37,2.945945945945946,100,43,37.2093023255814,20.930232558139537,20.930232558139537,0.0,6.976744186046512,13.953488372093023,"Sloan, Robert Hal",2.9,17.0
2016,Fall,CS,111,Program Design I,2699,Computer Science,87,46,9,3,10,0,0,0,0,0,3,"Troy, Patrick A",158,155,3.270967741935484,100,158,55.06329113924051,29.11392405063291,5.69620253164557,1.89873417721519,6.329113924050633,1.89873417721519,"Troy, Patrick A",4.3,74.0
2018,Fall,CS,111,Program Design I,2699,Computer Science,18,21,13,3,5,0,0,0,0,0,21,"Berger-Wolf, Tanya Yonit",81,60,2.7333333333333334,100,81,22.22222222222222,25.925925925925924,16.049382716049383,3.7037037037037033,6.172839506172839,25.925925925925924,"Berger-Wolf, Tanya Yonit",3.0,26.0
2018,Fall,CS,111,Program Design I,2699,Computer Science,41,34,10,4,4,0,6,0,0,0,2,"Hayes, David P",101,93,3.118279569892473,100,95,43.15789473684211,35.78947368421053,10.526315789473683,4.2105263157894735,4.2105263157894735,2.1052631578947367,"Hayes, David P",2.8,24.0
2018,Fall,CS,111,Program Design I,2699,Computer Science,36,27,11,3,14,0,2,0,0,0,13,"Sloan, Robert Hal",106,91,2.7472527472527473,100,104,34.61538461538461,25.961538461538463,10.576923076923077,2.8846153846153846,13.461538461538462,12.5,"Sloan, Robert Hal",2.9,17.0
2021,Spring,CS,480,Database Systems,2699,Computer Science,35,10,3,5,0,0,0,0,0,0,0,"Asudeh, Abolfazl",53,53,3.4150943396226414,400,53,66.0377358490566,18.867924528301888,5.660377358490567,9.433962264150944,0.0,0.0,"Asudeh, Abolfazl",4.3,16.0
2021,Spring,CS,480,Database Systems,2699,Computer Science,29,18,2,9,1,0,0,0,0,0,0,"Deitz, Sean M",59,59,3.1016949152542375,400,59,49.152542372881356,30.508474576271187,3.389830508474576,15.254237288135593,1.694915254237288,0.0,"Deitz, Sean M",2.6,25.0
2021,Spring,CS,480,Database Systems,2699,Computer Science,25,16,3,11,0,0,0,0,0,0,0,"Sistla, Aravinda Prasad",55,55,3.0,400,55,45.45454545454545,29.09090909090909,5.454545454545454,20.0,0.0,0.0,"Sistla, Aravinda Prasad",2.2,26.0
2021,Fall,CS,141,Program Design II,2699,Computer Science,20,29,15,2,14,0,0,0,0,0,13,"Fulton, Christopher",93,80,2.4875,100,93,21.50537634408602,31.182795698924732,16.129032258064516,2.1505376344086025,15.053763440860216,13.978494623655912,"Fulton, Christopher",,
2021,Fall,CS,141,Program Design II,2699,Computer Science,19,25,12,14,13,0,0,0,0,0,11,"Kidane, Ellen G",94,83,2.2771084337349397,100,94,20.212765957446805,26.595744680851062,12.76595744680851,14.893617021276595,13.829787234042554,11.702127659574469,"Kidane, Ellen G",1.9,108.0
2021,Fall,CS,141,Program Design II,2699,Computer Science,32,22,13,4,16,0,0,0,0,0,6,"Reed, Dale F",93,87,2.574712643678161,100,93,34.40860215053764,23.655913978494624,13.978494623655912,4.301075268817205,17.20430107526882,6.451612903225806,"Reed, Dale F",3.5,128.0
2021,Fall,CS,301,Languages and Automata,2699,Computer Science,30,20,5,2,3,0,0,0,0,0,4,"McCarty, Evan",64,60,3.2,300,64,46.875,31.25,7.8125,3.125,4.6875,6.25,"McCarty, Evan",3.9,74.0
2021,Fall,CS,301,Languages and Automata,2699,Computer Science,30,24,8,1,4,0,0,0,0,0,3,"Sidiropoulos, Anastasios",70,67,3.1194029850746268,300,70,42.857142857142854,34.285714285714285,11.428571428571429,1.4285714285714286,5.714285714285714,4.285714285714286,"Sidiropoulos, Anastasios",4.1,15.0
2021,Fall,CS,301,Languages and Automata,2699,Computer Science,14,17,10,1,2,0,0,0,0,0,1,"Sun, Xiaorui",45,44,2.909090909090909,300,45,31.11111111111111,37.77777777777778,22.22222222222222,2.2222222222222223,4.444444444444445,2.2222222222222223,"Sun, Xiaorui",3.3,4.0
2022,Spring,CS,301,Languages and Automata,2699,Computer Science,34,18,4,0,0,0,0,0,0,0,2,"DasGupta, Bhaskar",58,56,3.5357142857142856,300,58,58.620689655172406,31.03448275862069,6.896551724137931,0.0,0.0,3.4482758620689653,"DasGupta, Bhaskar",4.8,23.0
2022,Spring,CS,301,Languages and Automata,2699,Computer Science,37,35,13,2,4,0,0,0,0,0,3,"McCarty, Evan",94,91,3.087912087912088,300,94,39.361702127659576,37.234042553191486,13.829787234042554,2.127659574468085,4.25531914893617,3.1914893617021276,"McCarty, Evan",3.9,74.0
2022,Spring,CS,301,Languages and Automata,2699,Computer Science,32,19,6,0,1,0,0,0,0,0,2,"Sidiropoulos, Anastasios",60,58,3.396551724137931,300,60,53.333333333333336,31.666666666666664,10.0,0.0,1.6666666666666667,3.3333333333333335,"Sidiropoulos, Anastasios",4.1,15.0
2023,Fall,CS,251,Data Structures,2699,Computer Science,43,36,10,2,1,0,0,0,0,0,6,"Dey, Drishika",98,92,3.282608695652174,200,98,43.87755102040816,36.734693877551024,10.204081632653061,2.0408163265306123,1.0204081632653061,6.122448979591836,"Dey, Drishika",4.8,5.0
2023,Fall,CS,251,Data Structures,2699,Computer Science,101,39,14,0,1,0,0,0,0,0,4,"Koehler, Adam Thomas",159,155,3.541935483870968,200,159,63.52201257861635,24.528301886792452,8.80503144654088,0.0,0.628930817610063,2.515723270440252,"Koehler, Adam Thomas",2.6,69.0
2023,Fall,CS,251,Data Structures,2699,Computer Science,77,45,18,1,4,0,0,0,0,0,11,"Ordentlich, Ethan",156,145,3.310344827586207,200,156,49.358974358974365,28.846153846153843,11.538461538461538,0.641025641025641,2.564102564102564,7.051282051282051,"Ordentlich, Ethan",5.0,2.0
2024,Spring,CS,377,Ethical Issues in Computing,2699,Computer Science,95,17,3,0,1,0,0,0,0,0,4,"Burton, Emanuelle Neuman",120,116,3.7672413793103448,300,120,79.16666666666666,14.166666666666666,2.5,0.0,0.8333333333333334,3.3333333333333335,"Burton, Emanuelle Neuman",2.9,9.0
2024,Spring,CS,377,Ethical Issues in Computing,2699,Computer Science,110,5,0,0,0,0,0,0,0,0,8,"Clayville, Kristel",123,115,3.9565217391304346,300,123,89.43089430894308,4.0650406504065035,0.0,0.0,0.0,6.504065040650407,"Clayville, Kristel",4.8,4.0
2024,Spring,CS,377,Ethical Issues in Computing,2699,Computer Science,23,4,2,0,0,0,0,0,0,0,1,"Swiatek, Sara Jo",30,29,3.7241379310344827,300,30,76.66666666666667,13.333333333333334,6.666666666666667,0.0,0.0,3.3333333333333335,"Swiatek, Sara Jo",3.0,1.0
