Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
IE 201,Financial Engineering,12747,LCD,03:30 PM - 04:45 PM,TR,"Darabi, H",Online Synchronous
IE 312,Dynamic Systems and Control,43502,LCD,10:00 AM - 10:50 AM,MWF,"Reckinger, S",On Campus
IE 312,Dynamic Systems and Control,22491,LCD,02:00 PM - 02:50 PM,MWF,"Kim, M",On Campus
IE 342,Probability and Statistics for Engineers,12762,LCD,ARRANGED,,"Haghighi, A",Online Asynchronous
IE 342,Probability and Statistics for Engineers,43531,LCD,ARRANGED,,"Li, L",Online Asynchronous
IE 345,Regression Applications and Forecasting in Engineering,42035,LCD,03:00 PM - 03:50 PM,MWF,"Williams, Q",On Campus
IE 365,Work Productivity Analysis,12769,LCD - AS1,01:00 PM - 01:50 PM,MWF,"Williams, Q",On Campus
IE 380,Manufacturing Process Principles,12770,LCD,ARRANGED,,"Subramanian, A",Online Asynchronous
IE 396,Senior Design I,41221,LCD - AS,12:30 PM - 01:20 PM,TR,"Alonso, M; Brown, M",On Campus
IE 396,Senior Design I,12774,LCD - AS1,09:30 AM - 10:20 AM,TR,"Alonso, M; Brown, M",On Campus
IE 396,Senior Design I,37915,LCD - AS2,11:00 AM - 11:50 AM,MW,"Alonso, M; Komperda, J",On Campus
IE 396,Senior Design I,40061,LCD - AS3,04:00 PM - 04:50 PM,MW,"Alonso, M; Komperda, J",On Campus
IE 411,Mechatronics I,32261,LEC - AL1,04:00 PM - 04:50 PM,MW,"Cetin, S",On Campus
IE 411,Mechatronics I,32262,LEC - AL2,04:00 PM - 04:50 PM,MW,"Cetin, S",On Campus
IE 412,Dynamic Systems Analysis I,39456,LCD,05:00 PM - 06:15 PM,MW,"Cetin, S",On Campus
IE 412,Dynamic Systems Analysis I,39455,LCD,05:00 PM - 06:15 PM,MW,"Cetin, S",On Campus
IE 441,Ergonomics and Human Factors,29570,LCD,12:30 PM - 01:45 PM,TR,"Jeong, H",On Campus
IE 441,Ergonomics and Human Factors,29571,LCD,12:30 PM - 01:45 PM,TR,"Jeong, H",On Campus
IE 444,Interdisciplinary Product Development I,39048,LCD,02:00 PM - 04:50 PM,M,"Scott, M",On Campus
IE 444,Interdisciplinary Product Development I,39049,LCD,02:00 PM - 04:50 PM,M,"Scott, M",On Campus
IE 461,Safety Engineering,12782,LCD,09:30 AM - 10:45 AM,MW,"Williams, Q",On Campus
IE 461,Safety Engineering,20377,LCD,09:30 AM - 10:45 AM,MW,"Williams, Q",On Campus
IE 467,Discrete Event Computer Simulation Application,20378,LCD,02:00 PM - 03:15 PM,TR,"Pan, Y",On Campus
IE 467,Discrete Event Computer Simulation Application,12785,LCD,02:00 PM - 03:15 PM,TR,"Pan, Y",On Campus
IE 471,Operations Research I,12787,LCD,12:00 PM - 12:50 PM,MWF,"He, D",On Campus
IE 471,Operations Research I,20379,LCD,12:00 PM - 12:50 PM,MWF,"He, D",On Campus
IE 473,Stochastic Processes and Queuing Models,35388,LCD,02:00 PM - 02:50 PM,MWF,"He, D",On Campus
IE 473,Stochastic Processes and Queuing Models,35475,LCD,02:00 PM - 02:50 PM,MWF,"He, D",On Campus
IE 496,Undergraduate Senior Design Thesis I,41955,LCD,11:00 AM - 11:50 AM,MW,"Komperda, J",On Campus
IE 499,Professional Development Seminar,43938,LCD,05:00 PM - 05:50 PM,W,"Reckinger, S",On Campus
IE 542,Advanced Computational Methods for Product and Process Design,44828,LCD,03:30 PM - 04:45 PM,TR,"Huang, J",On Campus
IE 594,Current Topics in Industrial Engineering,38914,LCD,05:00 PM - 06:15 PM,MW,"Anahideh, H",On Campus
